,size,Diptera (D),Coleoptera (C),Lepidoptera (L),Hemiptera (H),Ephemeroptera(E),Hymenoptera (HY),Trichoptera (T),Psocodea(PS),Plecoptera (P),Megaloptera (M),Blattodea (B),Mecoptera (ME),Neuroptera(N),Orthoptera(O),Odonata(OD),Dermaptera (DE),Non-insect (*),Unidentifiable,notes,,totals by order,,total total
W2-3.0613.0847,S,3,,,,,,,,,,,,,,,,,,,,,,
W2-2.0613.0927,S,1,,,,,,,,,,,,,,,,,,,,,,
W3-1.0613.1007,S,9,,,1,,,,,,,,,,,,,,,,,,,
W3-1.0613.1007,L,,,1,,,,,,,,,,,,,,,,,,,,
S3-2.0611.0841,S,3,2,,,,,,,,,,,,,,,,,,,,,
S2-1.0611.0921,L,,1,,,,,,,,,,,,,,,,,,,,,
S2-1.0611.0921,M,1,1,1,,,,,,,,,,,,,,,,,,,,
S2-1.0611.0921,S,8,1,,,,,,,,,,,,,,,,,,,,,
W1-1.0613.0952,S,11,,1,,,,,,,,,,,,,,,,,,,,
W1-1.0613.0952,M,,1,,,,,,,,,,,,,,,,,,,,,
W1-1.0613.0852,S,3,,,,,,,,,,,,,,,,1,,teeny worm ,,,,
W1-3.0613.0917,S,4,,,1,,,,,,,,,,,,,,,,,,,
W1-2.0613.0827,S,1,,,,,,,,,,,,,,,,,,,,,,
W1-3.0613.0857,S,4,,1,,,,,,,,,,,,,,,,,,,,
W1-2.0613.0857,M,2,1,,,,,,,,,,,,,,,,,,,,,
W1-3.0613.0832,S,1,,,,,,,,,,,,,,,,,,,,,,
W1-3.0613.0832,M,,1,,,,,,,,,,,,,,,,,,,,,
W1-3.0613.1002,S,5,,,,,,,,,,,,,,,,,,,,,,
W2-2.0613.0827,S,,,1,,,,,,,,,,,,,,,,,,,,
S3-3.0611.0946,S,25,,2,7,,,,,,,,,,,,,,,,,,,
S3-3.0611.0946,M,,2,,,,,,,,,,,,,,,,,,,,,
S2-3.0611.0946,S,40,,4,3,,1,,,,,,,,,,,,,,,,,
S2-3.0611.0946,M,,5,4,,,,,,,,,,,,,,,,,,,,
S2-3.0611.0946,L,,,1,,,,1,,,,,,,,,,,,,,,,
W2-2.0613.1012,M,,1,,,,,,,,,,,,,,,,,,,,,
W2-2.0613.1012,S,10,,,1,,,,,,,,,,,,,,,,,,,
Z3-3.0616.0848,S,3,,,,,,,,,,,,,,,,,,,,,,
Z3-1.0616.0938,S,5,,,,,1,,,,,,,,,,,,,,,,,
Z3-1.0616.0938,M,1,4,,,,,,,,,,,,,,,,,,,,,
Z3-1.0616.0938,L,,1,,,,,,,,,,,,,,,,,,,,,
W1-1.0613.0837,S,2,,,1,,,,,,,,,,,,,,,,,,,
W1-3.0613.1017,S,3,,,,,,,,,,,,,,,,,,,,,,
W1-3.0613.1017,M,,,1,,,,,,,,,,,,,,,,,,,,
W1-3.0613.1017,L,1,,,,,,,,,,,,,,,,,,,,,,
W2-3.0613.1017,S,5,,,,,,,,,,,,,,,,,,,,,,
W2-3.0613.1017,M,1,,,,,,,,,,,,,,,,,,,,,,
W2-3.0613.1017,L,,,1,,,,,,,,,,,,,,,,,,,,
W1-3.0613.0947,L,,,,,,,1,,,,,,,,,,,,,,,,
W1-3.0613.0947,M,,,1,,,,,,,,,,,,,,,,,,,,
W1-3.0613.0947,S,6,,,,,,,,,,,,,,,,,,,,,,
W2-2.0613.0957,L,,,1,,,,,,,,,,,,,,,,,,,,
W2-2.0613.0957,S,6,,1,,,,,,,,,,,,,,,,,,,,
W2-2.0613.0957,M,,1,,,,,,,,,,,,,,,,,,,,,
W3-3.0613.0902,S,5,,,,,,,,,,,,,,,,,,,,,,
W3-2.0613.0827,S,1,,,,,,,,,,,,,,,,,,,,,,
W1-3.0613.0847,S,3,,,,,,,,,,,,,,,,,,,,,,
W1-3.0613.0847,M,1,,,,,,,,,,,,,,,,,,,,,,
Z3-2.0616.0913,S,3,,,,,,,,,,,,,,,,,,,,,,
Z3-2.0616.0913,M,,,,1,,,,,,,,,,,,,,,,,,,
S1-1.0611.0836,S,3,2,,,,,,,,,,,,,,,,,,,,,
S1-2.0611.1011,S,8,,,,,,,,,,,,,,,,,,,,,,
S1-2.0611.1011,M,1,3,,,,,,,,,,,,,,,,,,,,,
S1-2.0611.1011,L,,1,,,,,,,,,,,,,,,,,,,,,
S2-2.0611.0826,S,,,1,,,,,,,,,,,,,,,,,,,,
Z2-1.0616.0923,S,7,,,1,,,,,,,,,,,,,,,,,,,
Z2-1.0616.0923,M,1,,,,,,,,,,,,,,,,,,,,,,
Z2-1.0616.0953,S,12,1,1,1,,,,,,,,,,,,,,,,,,,
Z2-1.0616.0953,M,,,,,,1,,,,,,,,,,,,,,,,,
Z3-1.0616.0923,S,6,,,1,,,,,,,,,,,,,,,,,,,
Z3-1.0616.0923,M,,,1,,,,,,,,,,,,,,,,,,,,
Z3-3.0616.0948,S,7,,,,,,,,,,,,,,,,,,,,,,
Z3-3.0616.0948,M,1,1,1,,,,,,,,,,,,,,,,,,,,
W1-2.0613.0927,M,,,1,,,,,,,,,,,,,,,,,,,,
W1-2.0613.0927,S,3,,,,,,,,,,,,,,,,,,,,,,
Z3-2.0616.0958,S,7,,1,,,,,,,,,,,,,,,,,,,,
Z3-2.0616.0958,M,1,1,,,,,,,,,,,,,,,,,,,,,
Z3-2.0616.0958,L,,,1,,,,,,,,,,,,,,,,,,,,
Z2-2.0616.0958,S,13,,1,,,1,,,,,,,,,,,,,,,,,
S3-3.0618.1018,S,17,4,1,,,,,,,,,,,,,,,,,,,,
S3-3.0618.1018,M,2,1,2,,,1,1,,,,,,,,,,,,,,,,
S3-3.0618.1018,L,1,,,,,,,,,,,,,,,,,,,,,,
Z3-1.0616.0908,S,2,,,1,,,,,,,,,,,,,,,,,,,
Z3-1.0616.0908,L,1,,,,,,,,,,,,,,,,,,,,,,
W3-1.0613.0907,S,2,,,,,,,,,,,,,,,,,,,,,,
S1-1.0618.0923,S,6,,,,,1,,,,,,,,,,,,,,,,,
S1-1.0618.0923,M,,1,,,,,,,,,,,,,,,,,,,,,
W1-2.0613.0942,S,6,,,,,,,,,,,,,,,,,,,,,,
W1-2.0613.0942,M,,2,,,,,,,,,,,,,,,,,,,,,
W1-2.0613.0942,L,,1,,,,,,,,,,,,,,,,,,,,,
S1-1.0618.1008,S,10,1,1,,1,,,,,,,,,,,,,,,,,,
S1-1.0618.1008,M,1,2,,,,,,,,,,,,,,,,,,,,,
S1-1.0618.1008,L,,,2,,,,,,,,,,,,,,,,,,,,
W3-2.0613.0857,S,12,,,,,,,,,,,,,,,,,,,,,,
S1-1.0618.0908,S,7,,,,,2,,,,,,,,,,,,,,,,,
Z3-2.0616.0943,S,2,,1,,,,,,,,,,,,,,,,,,,,
Z3-2.0616.0943,M,,,1,,,,,,,,,,,,,,,,,,,,
Z3-3.0616.1018,S,2,,2,,,,,,,,,,,,,,,,,,,,
Z3-3.0616.1018,M,,3,,,,1,,,,,,,,,,,,,,,,,
Z3-3.0616.1018,G,,,,,,,,,,1,,,,,,,,,,,,,
Z3-3.0616.1003,S,8,,,2,,,,,,,,,,,,,,,,,,,
Z3-3.0616.1003,M,2,1,1,,,,,,,,,,,,,,,,,,,,
Z3-3.0616.1003,L,,,3,,,,,,,,,,,,,,,,,,,,
Z3-2.0616.1013,S,8,,,,,,,,,,,,,,,,,,,,,,
Z3-2.0616.1013,M,,4,,,,,,,,,,,,,,,,,,,,,
Z3-3.0616.0903,S,4,,,,,,,,,,,,,,,,,,,,,,
Z3-3.0616.0903,M,,,,,,1,,,,,,,,,,,,,,,,,
S2-1.0611.0906,S,8,1,,,,1,,,,,,,,,,,,,,,,,
S2-1.0611.0906,L,,1,,,,,,,,,,,,,,,,,,,,,
S3-3.0611.0916,S,12,,,3,2,,,,,,,,,,,,,,,,,,
S3-1.0611.0836,S,2,1,,,,,,,,,,,,,,,,,,,,,
S2-2.0611.0926,S,24,1,3,,,1,,,,,,,,,,,,,,,,,
S2-2.0611.0926,M,,,,,,,2,,,,,,,,,,,,,,,,
S3-1.0618.0933,S,4,,1,1,,,,,,,,,,,,,,,,,,,
S3-1.0618.0933,M,2,1,1,,,,,,,,,,,,,,,,,,,,
S3-1.0618.0933,L,1,,,,,,,,,,,,,,,,,,,,,,
S2-1.0618.0938,S,4,1,1,,,,,,,,,,,,,,,,,,,,
S2-1.0618.0938,M,1,,,,,,,,,,,,,,,,,,,,,,
S2-1.0618.0938,G,1,,,,,,,,,,,,,,,,,,,,,,
S1-3.0611.0916,S,12,,1,1,,,,,,,,,,,,,,,,,,,
S1-3.0611.0916,M,,,,,,,2,,,,,,,,,,,,,,,,
S3-2.0618.0928,S,19,1,2,1,,2,,,,,,,,,,,1,,arachnid,,,,
S3-2.0618.0928,M,1,,,,,,,,,,,,,,,,,,,,,,
S3-1.0618.0908,S,4,,1,1,,,,,,,,,,,,,,,,,,,
S3-1.0618.0908,M,,1,,,,,,,,,,,,,,,,,,,,,
S3-3.0618.0933,S,12,1,1,1,,,,,,,,,,,,,,,1 unknown,,,,
S3-3.0618.0933,M,,1,2,,,,,,,,,,,,,,,,,,,,
S2-2.0618.0958,S,4,1,6,1,,,,,,,,,,,,,,,,,,,
S2-2.0618.0958,M,1,1,1,,,,,,,,,,,,,,,,,,,,
S3-3.0618.0833,S,5,,,,,,,,,,,,,,,,,,,,,,
S3-3.0618.0903,S,1,,,,,,,,,,,,,,,,,,,,,,
S3-2.0618.1013,S,35,2,1,3,,,,,,,,,,,,,,,,,,,
S3-2.0618.1013,M,1,5,2,,,,1,,,,,,,,,,,,,,,,
S1-1.0618.0838,L,,1,,,,,,,,,,,,,,,,,,,,,
S3-1.0618.1008,S,19,1,,8,,,,,,,,,,,,,,,,,,,
S3-1.0618.1008,M,,3,,1,,,,,,,,,,,,,,,,,,,
S2-2.0618.0858,S,1,2,,,,,,,,,,,,,,,,,,,,,
S1-2.0618.0828,M,,,,,,1,,,,,,,,,,,,,,,,,
S2-2.0618.0943,S,6,1,7,1,,,,,,,,,,,,,,,,,,,
S2-2.0618.0943,M,1,2,,,,1,,,,,,,,,,,,,,,,,
S2-3.0618.1003,S,12,2,1,,1,2,,,,,,,,,,,,,,,,,
S2-3.0618.1003,M,2,2,,,,,,,,,,,,,,,,,,,,,
S2-3.0618.1003,L,,1,,,,,,,,,,,,,,,,,,,,,
S3-2.0618.0858,S,6,,,,,,,,,,,,,,,,,,,,,,
S1-2.0618.0858,L,,1,1,,,,,,,,,,,,,,,,,,,,
S1-1.0618.0823,S,,1,,,,,,,,,,,,,,,,,,,,,
S1-3.0618.0833,S,,1,,,,,,,,,,,,,,,,,,,,,
S1-2.0618.1013,S,2,,1,,,,,,,,,,,,,,,,,,,,
S1-2.0618.1013,M,,1,1,,,,,,,,,,,,,,,,,,,,
S1-2.0618.1013,L,,,1,,,,,,,,,,,,,,,,,,,,
S1-2.0618.0843,S,1,1,,,,,,,,,,,,,,,,,,,,,
S1-2.0618.0958,S,1,1,1,,3,1,,,,,,,,,,,,,,,,,
S1-2.0618.0958,M,,5,,,,,,,,,,,,,,,,,,,,,
S1-2.0618.0958,L,,1,,,,,,,,,,,,,,,,,,,,,
S1-3.0618.0848,S,1,,,,,,,,,,,,,,,,,,,,,,
S2-3.0618.0903,S,3,1,,,,,,,,,,,,,,,,,,,,,
S2-3.0618.0833,S,,1,,,,,,,,,,,,,,,,,,,,,
S2-3.0618.0948,S,6,,,,1,,,,,,,,,,,,,,,,,,
S2-3.0618.0948,M,1,6,2,,,,,,,,,,,,,,,,,,,,
S3-1.0618.0923,S,8,,,2,1,,,,,,,,,,,,,,,,,,
S3-1.0618.0923,M,3,,,,,,,,,,,,,,,,,,,,,,
S3-1.0618.0938,S,11,1,,3,,,,,,,,,,,,,,,,,,,
S3-1.0618.0938,M,3,,,1,,,,,,,,,,,,,,,,,,,
S1-3.0618.0948,S,7,1,,1,,,,,,,,,,,,,,,,,,,
S1-3.0618.0948,M,,1,,,,2,,,,,,,,,,,,,,,,,
S1-3.0618.0948,G,,,,,,,,,,,1,,,,,,,,,,,,
S2-1.0618.0908,S,5,,,,,1,,,,,,,,,,,,,,,,,
S2-1.0618.0908,M,1,1,,,,,,,,,,,,,,,,,,,,,
S2-1.0618.0908,L,,1,,,,,,,,,,,,,,,,,,,,,
S2-3.0618.0933,S,2,1,,,,,,,,,,,,,,,,,,,,,
S2-3.0618.0933,M,,1,,,,,,,,,,,,,,,,,,,,,
S1-3.0618.0903,S,3,,2,,,1,,,,,,,,,,,,,,,,,
S1-3.0618.0903,M,,1,,,,,,,,,,,,,,,,,,,,,
S2-1.0618.0923,S,7,1,1,,,1,,,,,,,,,,,,,,,,,
S2-1.0618.0923,M,,1,,,,,,,,,,,,,,,,,,,,,
S1-2.0618.0928,S,2,,,,,1,,,,,,,,,,,,,,,,,
S1-1.0618.0853,S,5,1,,,,,,,,,,,,,,,,,,,,,
S1-1.0618.0853,M,2,,,,,,,,,,,,,,,,,,,,,,
S2-3.0618.0848,S,4,4,,,,,,,,,,,,,,,,,,,,,
S3-3.0618.0948,S,5,2,,1,1,,1,,,,,,,,,,,,,,,,
S3-3.0618.0948,M,1,1,2,1,,1,,,,,,,,,,,,,,,,,
S3-3.0618.0948,L,,,1,,,,,,,,,,,,,,,,,,,,
S3-3.0618.1003,S,7,1,,,,,1,,,,,,,,,,1,,,,,,
S3-3.0618.1003,M,,2,2,,,1,,,,,,,,,,,,,,,,,
S2-1.0618.0953,S,9,,2,,,,,,,,,,,,,,,,,,,,
S2-1.0618.0953,L,,,1,,,,,,,,,,,,,,,,,,,,
Z3-3.0616.0933,S,9,,2,,,,,,,,,,,,,,,,,,,,
Z3-3.0616.0933,M,1,2,,,,,,,,,,,,,,,,,,,,,
S3-2.0611.0926,S,32,4,2,21,13,,,,,,,,,,,,,,,,,,
S3-2.0611.0926,M,1,,1,,,,,,,,,,,,,,,,,,,,
Z2-2.0616.0928,S,8,,,,,,,,,,,,,,,,,,,,,,
Z2-2.0616.0928,M,1,1,1,,,,,,,,,,,,,,,,,,,,
S1-3.0611.1016,S,8,,,,,,,,,,,,,,,,,,,,,,
S1-3.0611.1016,M,,1,,,,,,,,,,,,,,,,,,,,,
S1-3.0611.1016,L,1,1,,,,,,,,,,,,,,,,,,,,,
S1-3.0611.1016,G,,1,,,,,,,,,,,,,,,,,,,,,
Z3-3.0616.0918,S,5,,1,1,,,,,,,,,,,,,,,,,,,
Z3-3.0616.0918,M,2,,,,,,,,,,,,,,,,,,,,,,
S2-3.0611.1001,S,20,1,,1,,,,,,,,,,,,,,,,,,,
S2-3.0611.1001,M,1,1,2,,,,,,,,,,,,,,,,,,,,
S2-3.0611.1001,L,,,2,,,,,,,,,,,,,,,,,,,,
S2-1.0611.0851,S,8,1,,,,,,,,,,,,,,,,,,,,,
S1-3.0611.0846,S,4,1,,1,,,,,,,,,,,,,,,,,,,
S1-3.0611.0846,M,1,1,,,,,,,,,,,,,,,,,,,,,
Z3-2.0616.0858,S,6,,,,,,,,,,,,,,,,,,,,,,
S2-3.0618.0918,S,8,,4,,,1,,,,,,,,,,,,,,,,,
S2-3.0618.0918,L,,,1,,,,,,,,,,,,,,,,,,,,
S1-3.0618.1003,S,5,1,,,,,,,,,,,,,,,,,,,,,
S1-3.0618.1003,M,2,2,,,,,,,,,,,,,,,,,,,,,
S2-2.0618.0913,S,4,,,,,,,,,,,,,,,,,,,,,,
S2-2.0618.0913,M,,,1,,,,,,,,,,,,,,,,,,,,
S2-2.0618.0828,S,1,4,,2,,,,,,,,,,,,,,,,,,,
S2-2.0618.0843,S,3,3,,,,,,,,,,,,,,,1,,arachnid,,,,
W3-2.0613.0942,S,40,,,1,1,,,,,,,,,,,,,,,,,,
W3-2.0613.0942,M,,1,,,,1,,,,,,,,,,,,,,,,,
W3-1.0613.0937,S,17,,,,,,,,,,,,,,,,,,,,,,
W3-1.0613.0937,L,,,1,,,,,,,,,,,,,,,,,,,,
W3-3.0613.0917,S,21,1,1,,,1,,,,,,,,,,,,,,,,,
W3-3.0613.0917,M,1,,,,,,,,,,,,,,,,,,,,,,
Z2-2.0616.0858,S,5,,,,,,,,,,,,,,,,,,,,,,
Z2-2.0616.0858,M,,1,,,,,,,,,,,,,,,,,,,,,
W3-3.0613.0847,S,5,,,,,,,,,,,,,,,,,,,,,,
S3-2.0618.0943,S,38,3,,1,,,1,,,,,,,,,,,,,,,,
S3-2.0618.0943,M,3,1,2,1,,,1,,,,,,,,,,,,,,,,
S3-2.0618.0943,L,1,,,,,,,,,,,,,,,,,,,,,,
S3-2.0618.0943,G,,,,,,,,,,1,,,,,,,,,,,,,
S2-1.0618.0853,S,3,,,,,,,,,,,,,,,,,,,,,,
S2-1.0618.0853,L,,1,,,,,,,,,,,,,,,,,,,,,
S3-1.0618.0853,S,4,,,1,,,,,,,,,,,,,,,,,,,
S3-1.0618.0853,M,2,,,,,,,,,,,,,,,,,,,,,,
S3-2.0618.0958,S,57,,1,,,1,,,,,,,,,,,,,,,,,
S3-2.0618.0958,M,4,4,1,,,,1,,,,,,,,,,,,,,,,
S3-2.0618.0958,L,,1,,,,,,,,,,,,,,,,,,,,,
S3-2.0618.0958,G,,,,,,,,,,1,,,,,,,,,,,,,
S3-3.0618.0848,S,1,,,,,,,,,,,,,,,,,,,,,,
S2-2.0618.0928,S,8,1,2,1,,,,,,,,,,,,,,,,,,,
S2-2.0618.0928,M,,1,,,,,,,,,,,,,,,,,,,,,
S2-1.0618.1008,S,6,1,,,,1,1,,,,,,,,,,,,,,,,
S2-1.0618.1008,M,2,2,1,,,,,,,,,,,,,,,,,,,,
S2-1.0618.1008,L,,,1,,,,,,,,,,,,,,,,,,,,
S3-2.0618.0843,S,5,,,,,,,,,,,,,,,,1,,arachnid,,,,
S3-2.0618.0828,S,5,,,,,,,,,,,,,,,,,,,,,,
S1-3.0618.0918,S,7,,1,1,,,,,,,,,,,,,,,,,,,
S1-3.0618.0918,M,,1,,,,,,,,,,,,,,,,,,,,,
S3-2.0618.0913,S,18,,,2,,,,,,,,,,,,,,,,,,,
S3-2.0618.0913,M,,1,,,,,,,,,,,,,,,,,,,,,
S3-2.0618.0913,G,,,1,,,,,,,,,,,,,,,,,,,,
S3-3.0618.0918,S,11,,,1,,,,,,,,,,,,,,,,,,,
S3-3.0618.0918,M,1,1,,,,,,,,,,,,,,,,,,,,,
S3-1.0618.0838,S,1,,,,,,,,,,,,,,,,,,,,,,
S2-3.0618.1018,S,7,,3,,,,,,,,,,,,,,,,,,,,
S2-3.0618.1018,M,1,4,2,,,,,,,,,,,,,,,,,,,,
S3-3.0618.1018,S,17,4,1,,,,,,,,,,,,,,,,,,,,
S3-3.0618.1018,M,2,1,2,,,1,1,,,,,,,,,,,,,,,,
S3-3.0618.1018,L,1,,,,,,,,,,,,,,,,,,,,,,
Z3-3.0623.0839,S,2,2,,1,,,,,,,,,,,,,,,,,,,
Z3-2.0623.0859,S,5,,1,,,1,,,,,,,,,,,,,,,,,
Z3-2.0623.0859,M,,,1,,,,,,,,,,,,,,,,,,,,
Z3-2.0623.0859,L,,1,,,,,,,,,,,,,,,,,,,,,
Z3-3.0623.0854,S,5,,,2,,1,,,,,,,,,,,,,,,,,
Z3-1.0623.0904,S,,4,,2,,,,,,,,,,,,,,,,,,,
Z3-1.0623.0919,S,3,1,,4,,1,,,,,,,,,,,,,,,,,
Z3-1.0623.0919,M,1,,,,,,,,,,,,,,,,,,,,,,
Z3-3.0623.1009,S,36,3,,5,,5,,,,,,,,,,,,,,,,,
Z3-3.0623.1009,M,2,1,4,,,,1,,,,,,,,,,,,,,,,
Z3-3.0623.1009,L,,1,,,,,,,,,,,,,,,,,,,,,
Z3-3.0623.1009,G,,,,,,,,,,1,,,,,,,,,,,,,
Z3-1.0623.1004,S,6,5,1,2,,1,,,,,,,,,,,,,,,,,
Z3-1.0623.1004,M,1,1,2,1,,,,,,,,,,,,,,,,,,,
Z3-1.0623.1004,L,1,,2,,,,,,,,,,,,,,,,,,,,
Z1-2.0623.0859,S,2,1,1,,1,,,,,,,,,,,,,,,,,,
Z1-2.0623.0859,M,,1,,,,,1,,,,,,,,,,,,,,,,
Z1-1.0623.0949,S,23,9,,8,,1,6,,,,,,,,,,,,,,,,
Z1-1.0623.0949,M,7,4,1,,,,9,,,,,,1,,,,,,,,,,
Z1-1.0623.0949,L,,2,,,,,,,,,,,,,,,,,,,,,
Z1-3.0623.0824,S,1,5,,,,,,,,,,,,,,,,,,,,,
Z1-1.0623.0904,S,16,12,,,3,1,,,,,,,,,,,,,,,,,
Z1-1.0623.0904,M,1,1,,,,,1,,,,,,,,,,,,,,,,
Z1-3.0623.0939,S,23,2,,,,2,,,,,,,,,,,,,,,,,
Z1-3.0623.0939,M,,5,1,,,2,28,,,,,,1,,,,,,,,,,
Z1-3.0623.0939,L,,1,,,,,,,,,,,,,,,,,,,,,
Z1-1.0623.0849,S,7,8,,,3,,,,,,,,,,,,,,,,,,
Z1-1.0623.1004,S,36,11,11,,1,,7,,,,,,,,,,,,,,,,
Z1-1.0623.1004,M,3,4,,1,,,6,,,,,,,,,,,,,,,,
Z1-3.0623.0909,S,26,10,1,,,1,,,,,,,,,,,,,,,,,
Z1-3.0623.0909,M,1,3,,,,,7,,,,,,,,,,,,,,,,
Z1-3.0623.1009,S,30,6,,,,,,,,,,,,,,,,,,,,,
Z1-3.0623.1009,M,1,1,,,,,16,,,,,,,,,,,,,,,,
Z1-3.0623.1009,L,,1,2,,,,,,,,,,,,,,,,,,,,
Z1-2.0623.0829,S,,5,,,,,,,,,,,,,,,,,,,,,
Z3-3.0623.0824,S,,2,,,,,,,,,,,,,,,,,,,,,
Z3-3.0623.0954,S,16,4,1,6,,3,,,,,,,,,,,,,,,,,
Z3-3.0623.0954,M,2,3,5,,,,1,,,,,,,,,,,,,,,,
Z3-3.0623.0954,L,,1,2,,,1,,,,,,,,,,,,,,,,,
Z3-3.0623.0909,S,11,7,,2,,,,,,,,,,,,,,,,,,,
Z3-3.0623.0909,M,,1,,,,5,,,,,,,1,,,,,,,,,,
Z3-2.0623.0914,S,4,2,,,,2,,,,,,,,,,,,,,,,,
Z3-2.0623.0914,M,,,,1,,,,,,,,,,,,,,,,,,,
Z3-1.0623.0834,S,,1,,,,,,,,,,,,,,,,,,,,,
Z1-2.0623.1014,S,12,3,,3,,,6,,,,,,,,,,,,,,,,
Z1-2.0623.1014,M,,,,,,,1,,,,,,,,,,,,,,,,
Z1-2.0623.0844,S,1,4,,,,,1,,,,,,,,,,,,,,,,
Z1-1.0623.1019,S,31,13,1,12,,1,19,,,,,,,,,,,,,,,,
Z1-1.0623.1019,M,,4,1,,,,2,,,,,,,,,,,,,,,,
Z1-1.0623.0834,S,,4,,,,,,,,,,,,,,,,,,,,,
Z3-1.0623.1019,S,10,2,2,5,,,,,,,,,,,,,,,,,,,
Z3-1.0623.1019,M,,9,,,,,,,,,,,,,,,,,,,,,
Z3-1.0623.1019,L,,1,2,,,,,,,,,,,,,,,,,,,,
Z3-2.0623.1014,S,11,4,2,6,,2,,,,,,,,,,,,,,,,,
Z3-2.0623.1014,M,1,1,3,,,1,,,,,,,,,,,,,,,,,
Z3-2.0623.1014,L,1,1,1,,,,,,,,,,,,,,,,,,,,
Z3-2.0623.0844,S,,,,,,1,,,,,,,,,,,,,,,,,
Z3-2.0623.0844,M,,,2,,,,,,,,,,,,,,,,,,,,
Z3-1.0623.0849,S,2,,,,,,,,,,,,,,,,,,,,,,
Z3-2.0623.0829,S,1,,,,,,,,,,,,,,,,,,,,,,
Z1-3.0623.0954,S,18,2,,2,,,14,,,,,,,,,,,,,,,,
Z1-3.0623.0954,M,1,1,,,,,1,,,,,,,,,,,,,,,,
Z1-3.0623.0954,L,,,1,,,1,,,,,,,,,,,,,,,,,
Z1-2.0623.0914,S,1,1,,1,,1,1,,,,,,,,,,,,,,,,
Z1-2.0623.0914,M,,,,,,,1,,,,,,,,,,,,,,,,
Z1-3.0623.0839,S,,10,,,,,,,,,,,,,,,,,,,,,
Z1-3.0623.0854,S,4,5,,,,2,,,,,,,,,,,,,,,,,
Z1-3.0623.0854,M,,1,,,,,,,,,,,,,,,,,,,,,
Z1-3.0623.0854,L,,1,,,,,,,,,,,,,,,,,,,,,
W1-1.0620.0939,S,26,2,1,,,,,,,,,,,,,,,,,,,,
W1-1.0620.0939,M,6,3,5,,,,,,,,,,,,,,,,,,,,
W1-1.0620.0939,L,,1,,,,,,,,,,,,,,,,,,,,,
W1-1.0620.0939,G,,,1,,,,,,,,,,,,,,,,,,,,
W1-2.0620.0959,S,18,,,,,,,1,,,,,,,,,,,,,,,
W1-2.0620.0959,M,,4,3,,,,2,,,,,,,,,,,,,,,,
W1-2.0620.0959,L,1,,,,,,,,,,,,,,,,,,,,,,
Z2-2.0623.1014,S,5,1,,6,,2,,,,,,,,,,,,,,,,,
Z2-2.0623.1014,M,,7,2,,,2,,,,,,,,,,,,,,,,,
Z2-2.0623.1014,L,,,3,,,,,,,,,,,,,,,,,,,,
Z2-2.0623.1014,G,,,1,,,,,,,,,,,,,,,,,,,,
Z2-1.0623.0904,S,7,2,,17,,,,,,,,,,,,,,,,,,,
Z2-1.0623.0919,S,5,4,,26,,2,,,,,,,,,,,,,,,,,
Z2-1.0623.0919,M,,1,1,,,,,,,,,,,,,,,,,,,,
Z2-1.0623.0919,L,,,1,,,,,,,,,,,,,,,,,,,,
Z2-2.0623.0944,S,6,,,6,,2,,,,,,,,,,,,,,,,,
Z2-2.0623.0944,M,,3,2,,,,,,,,,,,,,,,,,,,,
Z2-2.0623.0944,G,,,1,,,,,,,,,,,,,,,,,,,,
Z2-1.0623.1004,S,11,5,,9,,,,,,,,,,,,,,,,,,,
Z2-1.0623.1004,M,1,3,,,,,,,,,,,,,,,,,,,,,
Z2-1.0623.1004,L,,,1,1,,,,,,,,,,,,,,,,,,,
Z2-1.0623.1004,G,,,1,,,,,,,,,,,,,,,,,,,,
S1-2.0618.1018,S,10,,,,,3,,,,,,,,,,,,,,,,,
S1-2.0618.1018,M,,2,1,,,,,,,,,,,,,,,,,,,,
S1-2.0618.1018,L,,,1,,,,,,,,,,,,,,,,,,,,
W1-3.0620.0904,S,36,1,,3,,1,,,,,,,,,,,,,,,,,
W1-3.0620.0904,M,15,,1,,,,,,,,,,,,,,,,,,,,
W1-1.0620.0924,S,70,1,,3,,1,1,,,,,,,,,,,,,,,,
W1-1.0620.0924,M,6,,4,,,,1,,,,,,,,,,,,,,,,
W1-1.0620.0924,L,1,,,,,,,,,,,,,,,,,,,,,,
Z2-3.0623.0939,S,4,6,2,11,,3,,,,,,,,,,,,,,,,,
Z2-3.0623.0939,M,1,,,,,,,,,,,,,,,,,,,,,,
Z2-3.0623.0939,L,,1,,,,,,,,,,,,,,,,,,,,,
Z2-3.0623.0939,G,,,2,,,,,,,,,,,,,,,,,,,,
W1-3.0620.0834,S,3,3,,,,,,,,,,,,,,,,,,,,,
Z2-1.0623.0949,S,13,1,1,23,,1,2,,,,,,,,,,,,,,,,
Z2-1.0623.0949,M,4,4,4,1,,,,,,,,,,,,,,,,,,,
Z2-1.0623.0949,L,,,2,,,,,,,,,,,,,,,,,,,,
Z2-1.0623.0949,G,,,1,,,,,,,,,,,,,,,,,,,,
Z2-1.0623.1019,S,15,5,3,18,,2,2,,,,,,,,,,,,,,,,
Z2-1.0623.1019,M,2,3,3,,,,,,,,,,,,,,,,,,,,
Z2-1.0623.1019,L,,1,2,,,,,,,,,,,,,,,,,,,,
W1-3.0620.1019,S,47,,1,2,,1,3,,,,,,,,,,,,,,,,
W1-3.0620.1019,M,9,2,1,,,,,,,,,,,,,,,,,,,,
Z2-1.0623.0834,S,,1,,2,,,,,,,,,,,,,,,,,,,
